ICB Code,ICB Name,population_2024,incomplete_pathways,backlog_per_100k,plus_52_plus_weeks,plus_52_per_100k,pct_within_18_weeks,pct_52_plus_weeks
QH8,NHS MID AND SOUTH ESSEX INTEGRATED CARE BOARD,1241837,397540,32012.252815788223,27160,2187.0825237128547,0.5158575237711929,0.0683201690395935
QNX,NHS SUSSEX INTEGRATED CARE BOARD,1759789,506204,28765.039445069833,13550,769.9786735796166,0.5796003192388839,0.026767864339278236
QMJ,NHS NORTH CENTRAL LONDON INTEGRATED CARE BOARD,1436301,407102,28343.78030788811,6174,429.8541879452844,0.6129913387799618,0.015165732420867498
QOP,NHS GREATER MANCHESTER INTEGRATED CARE BOARD,3009664,826752,27469.910262408033,15844,526.437502658104,0.5850823463384425,0.01916415079733705
QUA,NHS BLACK COUNTRY INTEGRATED CARE BOARD,1262719,345288,27344.801179043,3986,315.66801481564784,0.6040406848775515,0.011543986469266236
QJM,NHS LINCOLNSHIRE INTEGRATED CARE BOARD,789502,214790,27205.757553495747,2288,289.80293906791877,0.5601750547045952,0.010652265003026212
QE1,NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,1790318,483720,27018.663723427904,8564,478.35077343801487,0.6169560903001736,0.01770445712395601
QRV,NHS NORTH WEST LONDON INTEGRATED CARE BOARD,2181495,586776,26897.884249104398,6766,310.15427493530814,0.626065142405279,0.011530805622588517
QXU,NHS SURREY HEARTLANDS INTEGRATED CARE BOARD,1085554,288018,26531.890629116562,4034,371.6074925798256,0.6378698553562625,0.014006069065127875
QYG,NHS CHESHIRE AND MERSEYSIDE INTEGRATED CARE BOARD,2615425,693724,26524.33160958544,15416,589.4261926837894,0.5882166394704522,0.022222094089291995
QWE,NHS SOUTH WEST LONDON INTEGRATED CARE BOARD,1549431,410778,26511.538751967655,5112,329.92756695845117,0.6265184600927995,0.01244467814732045
QMM,NHS NORFOLK AND WAVENEY INTEGRATED CARE BOARD,1058014,270550,25571.495273219447,9632,910.3849287438541,0.575006468305304,0.035601552393272964
QJG,NHS SUFFOLK AND NORTH EAST ESSEX INTEGRATED CARE BOARD,1025557,258852,25240.137798289124,5644,550.3350862019371,0.5744054517639423,0.021803965200191615
QUE,NHS CAMBRIDGESHIRE AND PETERBOROUGH INTEGRATED CARE BOARD,955401,240380,25160.116014113442,3740,391.4586650003506,0.594417172809718,0.015558698727015558
QM7,NHS HERTFORDSHIRE AND WEST ESSEX INTEGRATED CARE BOARD,1545554,385648,24952.088377371478,7956,514.7668732376869,0.6322034601501888,0.020630212006804132
