ICB Code,ICB Name,population_2024,incomplete_pathways,within_18_weeks,plus_52_plus_weeks,pct_within_18_weeks,pct_52_plus_weeks,backlog_per_100k,plus_52_per_100k,within_18_per_100k
QE1,NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,1790318,483720,298434,8564,0.6169560903001736,0.01770445712395601,27018.663723427904,478.35077343801487,16669.329135941214
QF7,NHS SOUTH YORKSHIRE INTEGRATED CARE BOARD,1430623,212368,139464,2950,0.6567091087169442,0.01389098169215701,14844.441896991731,206.2038706214006,9748.480207573904
QGH,NHS HEREFORDSHIRE AND WORCESTERSHIRE INTEGRATED CARE BOARD,812407,185508,112732,2532,0.6076934687452832,0.013649007050908856,22834.367502988036,311.66644305132775,13876.295994495369
QH8,NHS MID AND SOUTH ESSEX INTEGRATED CARE BOARD,1241837,397540,205074,27160,0.5158575237711929,0.0683201690395935,32012.252815788223,2187.0825237128547,16513.761467889908
QHG,"NHS BEDFORDSHIRE, LUTON AND MILTON KEYNES INTEGRATED CARE BOARD",1063247,263738,159906,5020,0.6063062584837983,0.01903404135922772,24804.960653545226,472.138646993596,15039.402885688838
QHL,NHS BIRMINGHAM AND SOLIHULL INTEGRATED CARE BOARD,1404860,312802,192966,2258,0.6168950326404563,0.007218623921841932,22265.706191364265,160.7277593496861,13735.603547684466
QHM,NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD,3088985,692706,482738,7624,0.6968872797406115,0.011006112261190174,22425.036055532804,246.8124642884313,15627.722374825387
QJ2,NHS DERBY AND DERBYSHIRE INTEGRATED CARE BOARD,1096526,232680,136282,5508,0.5857056902183256,0.02367199587416194,21219.743079507465,502.313670628877,12428.524266638457
QJG,NHS SUFFOLK AND NORTH EAST ESSEX INTEGRATED CARE BOARD,1025557,258852,148686,5644,0.5744054517639423,0.021803965200191615,25240.137798289124,550.3350862019371,14498.072754610423
QJK,NHS DEVON INTEGRATED CARE BOARD,1254506,310660,196406,6678,0.6322217214961694,0.02149616944569626,24763.532418338375,532.3210889385941,15656.043095848088
QJM,NHS LINCOLNSHIRE INTEGRATED CARE BOARD,789502,214790,120320,2288,0.5601750547045952,0.010652265003026212,27205.757553495747,289.80293906791877,15239.986725809435
QK1,"NHS LEICESTER, LEICESTERSHIRE AND RUTLAND INTEGRATED CARE BOARD",1175364,245758,130904,5866,0.5326540743332873,0.023869009350662034,20909.097096729183,499.0794341157292,11137.315759203106
QKK,NHS SOUTH EAST LONDON INTEGRATED CARE BOARD,1824242,440038,279494,8522,0.6351587817415769,0.019366509256018797,24121.68999507741,467.15293256048267,15321.10323082135
QKS,NHS KENT AND MEDWAY INTEGRATED CARE BOARD,1931684,461150,279398,7526,0.6058722758321587,0.016320069391738048,23872.952304828326,389.608238200451,14463.959943758917
QM7,NHS HERTFORDSHIRE AND WEST ESSEX INTEGRATED CARE BOARD,1545554,385648,243808,7956,0.6322034601501888,0.020630212006804132,24952.088377371478,514.7668732376869,15774.79661014756
QMF,NHS NORTH EAST LONDON INTEGRATED CARE BOARD,2098267,509642,318136,8092,0.6242342664066148,0.015877812268219653,24288.71063596768,385.6515877150048,15161.845465805829
QMJ,NHS NORTH CENTRAL LONDON INTEGRATED CARE BOARD,1436301,407102,249550,6174,0.6129913387799618,0.015165732420867498,28343.78030788811,429.8541879452844,17374.49183701745
QMM,NHS NORFOLK AND WAVENEY INTEGRATED CARE BOARD,1058014,270550,155568,9632,0.575006468305304,0.035601552393272964,25571.495273219447,910.3849287438541,14703.77518633969
QNC,NHS STAFFORDSHIRE AND STOKE-ON-TRENT INTEGRATED CARE BOARD,1177578,277454,174226,4818,0.6279455333136303,0.017365040691429932,23561.411643220235,409.14487193205036,14795.283199923912
QNQ,NHS FRIMLEY INTEGRATED CARE BOARD,803615,143202,82746,2768,0.5778271253194788,0.01932933897571263,17819.727108130137,344.4435457277428,10296.721688868425
QNX,NHS SUSSEX INTEGRATED CARE BOARD,1759789,506204,293396,13550,0.5796003192388839,0.026767864339278236,28765.039445069833,769.9786735796166,16672.226045281564
QOC,"NHS SHROPSHIRE, TELFORD AND WREKIN INTEGRATED CARE BOARD",528407,131602,84514,1192,0.642193887630887,0.009057613106183797,24905.42328167492,225.58368833115384,15994.110600351623
QOP,NHS GREATER MANCHESTER INTEGRATED CARE BOARD,3009664,826752,483718,15844,0.5850823463384425,0.01916415079733705,27469.910262408033,526.437502658104,16072.159550036149
QOQ,NHS HUMBER AND NORTH YORKSHIRE INTEGRATED CARE BOARD,1748885,428150,252124,10794,0.58886838724746,0.025210790610767253,24481.312379030067,617.1932402645114,14416.270938340715
QOX,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD",974918,224902,142128,2488,0.6319552516207059,0.01106259615299108,23068.811941106844,255.20095023376325,14578.456854832919
QPM,NHS NORTHAMPTONSHIRE INTEGRATED CARE BOARD,813682,179948,109584,2636,0.6089759263787317,0.014648676284259898,22115.273534378295,323.9594829429679,13467.669187717069
QR1,NHS GLOUCESTERSHIRE INTEGRATED CARE BOARD,669380,140466,96558,258,0.6874119003887061,0.0018367434112169492,20984.493113029966,38.54312946308524,14424.990289521647
QRL,NHS HAMPSHIRE AND ISLE OF WIGHT INTEGRATED CARE BOARD,1879207,389682,233746,9670,0.5998378164759984,0.02481510565024815,20736.512795024708,514.5787558262608,12438.544556294224
QRV,NHS NORTH WEST LONDON INTEGRATED CARE BOARD,2181495,586776,367360,6766,0.626065142405279,0.011530805622588517,26897.884249104398,310.15427493530814,16839.827732816255
QSL,NHS SOMERSET INTEGRATED CARE BOARD,588328,129336,81192,2460,0.6277602523659306,0.019020226387084803,21983.655375912756,418.1341020655145,13800.465046708638
